item_id	name	classname	invgfx
40001	燈	Light	3
40002	燈籠	Light	140
40003	燈油	Lamp_Oil	142
40004	魔法燈籠	Light	140
40005	蠟燭	Light	24
40006	松木魔杖	wand.Create_Monster_Magic_Wand	117
40007	閃電魔杖	wand.Lightning_Magic_Wand	118
40008	楓木魔杖	wand.Poly_Magic_Wand	116
40009	驅逐魔杖	wand.Wand_Blink	118
40010	治癒藥水	hp.UserAddHp 10 20 189	80
40011	強力治癒藥水	hp.UserAddHp 30 50 194	78
40012	終極治癒藥水	hp.UserAddHp 60 80 197	81
40013	自我加速藥水	brave.StatusHaste 300 191	77
40014	勇敢藥水	brave.StatusBrave 300 751	79
40015	加速魔力回復藥水	mp.UserMprBlue 600 190	75
40016	慎重藥水	brave.StatusWisdomPotion	1529
40017	解毒藥水	Disintoxicat_Potion	76
40018	強化 自我加速藥水	brave.StatusHaste 1800 191	621
40019	濃縮體力恢復劑	hp.UserAddHp 10 20 189	535
40020	濃縮強力體力恢復劑	hp.UserAddHp 30 50 194	532
40021	濃縮終極體力恢復劑	hp.UserAddHp 60 80 197	536
40022	古代體力恢復劑	hp.UserAddHp 10 16 189	1161
40023	古代強力體力恢復劑	hp.UserAddHp 16 48 194	1162
40024	古代終極體力恢復劑	hp.UserAddHp 48 54 197	1163
40025	失明藥水	Blindness_Potion	82
40026	香蕉汁	hp.UserAddHp 10 20 189	1033
40027	橘子汁	hp.UserAddHp 10 20 189	1034
40028	蘋果汁	hp.UserAddHp 10 20 189	1032
40029	修練者治癒藥水	hp.UserAddHp 10 20 189	80
40030	修練者強化加速藥水	brave.StatusHaste 300 191	77
40031	惡魔之血	brave.StatusBrave 600 751	1761
40032	伊娃的祝福	Water_Essence	557
40033	萬能藥(力量)	power.Elixir STR	1143
40034	萬能藥(體質)	power.Elixir CON	1140
40035	萬能藥(敏捷)	power.Elixir DEX	1141
40036	萬能藥(智慧)	power.Elixir INT	1142
40037	萬能藥(精神)	power.Elixir WIS	1144
40038	萬能藥(魅力)	power.Elixir CHA	1139
40039	紅酒	brave.StatusHaste 600 191	1646
40040	威士忌	brave.StatusHaste 900 191	1647
40041	人魚之鱗	Water_Essence	556
40042	精神藥水	mp.UserAddMp 30 30 190	1730
40043	兔子的肝	hp.UserAddHp 400 400 189	904
40044	鑽石	0	236
40045	紅寶石	0	242
40046	藍寶石	0	245
40047	綠寶石	0	239
40048	品質 鑽石	0	237
40049	品質 紅寶石	0	243
40050	品質 藍寶石	0	246
40051	品質 綠寶石	0	240
40052	高品質 鑽石	0	238
40053	高品質 紅寶石	0	244
40054	高品質 藍寶石	0	247
40055	高品質 綠寶石	0	241
40056	肉	food 1	124
40057	漂浮之眼肉	food 1	1205
40058	煙燻的麵包屑	hp.UserAddHp 10 30 189	1648
40059	蛋	food 1	40
40060	胡蘿蔔	food 1	25
40061	檸檬	food 1	63
40062	香蕉	food 1	127
40063	情人節巧克力	0	608
40064	蘋果	food 1	995
40065	情人禮物(糖果)	0	936
40066	年糕	mp.UserAddMp 5 15 190	1157
40068	精靈餅乾	brave.StatusElfBrave 480 751	130
40069	橘子	food 1	71
40070	進化果實	Evolution_Fruit	1316
40071	烤焦的麵包屑	hp.UserAddHp 30 70 197	1649
40072	烤薄餅	food 1	125
40073	復活蛋	food 1	614
40074	對盔甲施法的卷軸	reel.ScrollEnchantArmor	467
40075	毀滅盔甲的卷軸	0	476
40076	古代的卷軸	0	911
40077	古代人的煉金術卷軸	0	1690
40078	古代人的咒術卷軸	0	1693
40079	傳送回家的卷軸	teleport.Scroll_GoHome	474
40080	古魯丁村莊指定傳送卷軸	teleport.Sor_City	474
